report,regex,matched word,sentence number,sentence
Xorddos-Microsoft,/var/run/,/var/run/,85,"encrypted strings	decoded value
m7a4nq_/na	/usr/bin/
m [(n3	/bin/
m6_6n3	/tmp/
m4s4nac/n&zv\x1aa/tb	/var/run/gcc.pid
m.[$n__#4%\c\x1ab]0	/lib/libudev.so
m.[$n3	/lib/
m4s4nac/na	/var/run/
!#ff3ve.-7\x17v[_	cat resolv.conf
<encrypted_remote_url>	hxxp://aa.hostasa[."
Xorddos-Microsoft,/var/,/var/run/,85,"encrypted strings	decoded value
m7a4nq_/na	/usr/bin/
m [(n3	/bin/
m6_6n3	/tmp/
m4s4nac/n&zv\x1aa/tb	/var/run/gcc.pid
m.[$n__#4%\c\x1ab]0	/lib/libudev.so
m.[$n3	/lib/
m4s4nac/na	/var/run/
!#ff3ve.-7\x17v[_	cat resolv.conf
<encrypted_remote_url>	hxxp://aa.hostasa[."
Xorddos-Microsoft,/proc/,/proc/net/tcp6,110,"the following table describes the symbols found in the rootkit and their corresponding functionalities:

function name  	description  
give_root  	provides a root privilege by setting a new set of credentials and assigning its uid, gid to “0”
module_hide	hides the rootkit kernel module
module_show	unhides the rootkit kernel module
get_udp_seq_show	hides the udp4 connection by hooking /proc/net/udphides the udp6 connection by hooking /proc/net/udp6
get_tcp_seq_show	hides the tcp4 connection by hooking /proc/net/tcphides the tcp6 connection by hooking /proc/net/tcp6
hide_udp4_port	adds a provided port to a list of hidden udp4 ports
unhide_udp4_port	deletes a provided port from a list of hidden udp4 ports
hide_udp6_port	adds a provided port to a list of hidden udp6 ports
unhide_udp6_port	deletes a provided port from a list of hidden udp6 ports
hide_tcp4_port	adds a provided port to a list of hidden tcp4 ports
unhide_tcp4_port	deletes a provided port from a list of hidden tcp4 ports
hide_tcp6_port	adds a provided port to a list of hidden tcp6 ports
unhide_tcp6_port	deletes a provided port from a list of hidden tcp6 ports
unhide_allz	iterates list of all hidden ports and deletes all entries
firewall_acceptip	adds an ip address provided to accept_ips list
unfirewall_acceptip	deletes a provided entry from accept_ips list
firewall_dropip	adds a provided ip address to drop_ips list
unfirewall_dropip	deletes a provided ip address to drop_ips list
hide_proc	adds a provided entry to hidden_procs list
unhide_proc	deletes a provided entry to hidden_procs list"
Xorddos-Microsoft,GID(\$|\.|$),gid,110,"the following table describes the symbols found in the rootkit and their corresponding functionalities:

function name  	description  
give_root  	provides a root privilege by setting a new set of credentials and assigning its uid, gid to “0”
module_hide	hides the rootkit kernel module
module_show	unhides the rootkit kernel module
get_udp_seq_show	hides the udp4 connection by hooking /proc/net/udphides the udp6 connection by hooking /proc/net/udp6
get_tcp_seq_show	hides the tcp4 connection by hooking /proc/net/tcphides the tcp6 connection by hooking /proc/net/tcp6
hide_udp4_port	adds a provided port to a list of hidden udp4 ports
unhide_udp4_port	deletes a provided port from a list of hidden udp4 ports
hide_udp6_port	adds a provided port to a list of hidden udp6 ports
unhide_udp6_port	deletes a provided port from a list of hidden udp6 ports
hide_tcp4_port	adds a provided port to a list of hidden tcp4 ports
unhide_tcp4_port	deletes a provided port from a list of hidden tcp4 ports
hide_tcp6_port	adds a provided port to a list of hidden tcp6 ports
unhide_tcp6_port	deletes a provided port from a list of hidden tcp6 ports
unhide_allz	iterates list of all hidden ports and deletes all entries
firewall_acceptip	adds an ip address provided to accept_ips list
unfirewall_acceptip	deletes a provided entry from accept_ips list
firewall_dropip	adds a provided ip address to drop_ips list
unfirewall_dropip	deletes a provided ip address to drop_ips list
hide_proc	adds a provided entry to hidden_procs list
unhide_proc	deletes a provided entry to hidden_procs list"
Xorddos-Microsoft,/proc/,/proc/$pid,114,"a user-mode process can get any process specific information by reading the /proc directory that contains the subdirectory for each running process on the system, such as:

/proc/7728 – contains process-id (pid) 7728-related information
/proc/698 – contains pid 698-related information
running the strace -e open ps command checks the traces of the open call on /proc/$pid to fetch information on running processes as part of the ps command."
Xorddos-Microsoft,/proc/,"open(“/proc/5978/status”,",115,"> strace -e open ps
open(“/proc/3922/status”, o_rdonly)     = 6
open(“/proc/4324/stat”, o_rdonly)       = 6
open(“/proc/4324/status”, o_rdonly)     = 6
open(“/proc/5559/stat”, o_rdonly)       = 6
open(“/proc/5559/status”, o_rdonly)     = 6
open(“/proc/5960/stat”, o_rdonly)       = 6
open(“/proc/5960/status”, o_rdonly)     = 6
open(“/proc/5978/stat”, o_rdonly)       = 6
open(“/proc/5978/status”, o_rdonly)     = 6
if the malware hides the $pid specific directory, it can conceal fetching the corresponding process from a user mode."
Xorddos-Microsoft,/proc/,/proc/rs_dev,116,"in this case, the malware has a provision for communicating with its rootkit component /proc/rs_dev by sending input and output control (ioctl) calls with additional information to take appropriate action."
Xorddos-Microsoft,/proc/rs_dev,/proc/rs_dev,116,"in this case, the malware has a provision for communicating with its rootkit component /proc/rs_dev by sending input and output control (ioctl) calls with additional information to take appropriate action."
Xorddos-Microsoft,/proc/,/proc/net,124,the /proc/net interface provides information about currently active tcp connections and is implemented by kernel apis tcp4_seq_show() and tcp6_seq_show() .
Xorddos-Microsoft,/proc/,/proc/net/udp.,125,"utilities, such as netstat, acquire tcp/udp connection information from files named /proc/net/tcp and /proc/net/udp."
Xorddos-Microsoft,/proc/,"/proc/net/udp6,",128,"the following table lists kernel apis and their hook names used by the rootkit:

kernel api	hooked function by rootkit	function description
tcp4_seq_show()	n_tcp4_seq_show()	hiding /proc/net/tcp, tcpv4 connection
tcp6_seq_show()	n_tcp6_seq_show()	hiding /proc/net/tcp6, tcpv6 connection
udp4_seq_show()	n_ udp4_seq_show()	hiding /proc/net/udp, udpv4 connection
udp6_seq_show()	n_ udp6_seq_show()	hiding /proc/net/udp6, udpv4 connection
persistence mechanisms
xorddos uses various persistence mechanisms to support different linux distributions when automatically launching upon system startup, as detailed below."
Xorddos-Microsoft,/etc/init.d/,/etc/init.d/hflggwyfsc.elf.,132,screenshot of the content of the init script dropped at the location /etc/init.d/hflggwyfsc.elf.
Xorddos-Microsoft,/etc/init.d/,/etc/init.d/hflggwyfsc.elf,133,figure 11. content of the init script dropped at the location /etc/init.d/hflggwyfsc.elf
Xorddos-Microsoft,/etc/cron,/etc/cron.hourly/gcc.sh.the,134,"cron script

the malware creates a cron script at the location /etc/cron.hourly/gcc.sh.the cron script passes parameters with the following content:

screenshot of the contents of the gcc.sh script."
Xorddos-Microsoft,/etc/cron,/etc/crontab,136,"it then creates a /etc/crontab file to run /etc/cron.hourly/gcc.sh every three minutes:

screenshot displaying the system command to delete the /etc/cron.hourly/gcc.sh entry from /etc/crontab file and add a new entry."
Xorddos-Microsoft,/etc/cron,/etc/crontab,137,"it reads system(sed -i \'/\\/etc\\/cron.hourly\\/gcc.sh/d\' /etc/crontab && echo \'*/3 * * * * root /etc/cron.hourly/gcc.sh\' >> /etc/crontab);
figure 13. system command to delete the /etc/cron.hourly/gcc.sh entry from the /etc/crontab file and add a new entry"
Xorddos-Microsoft,/etc/cron,/etc/crontab,138,"screenshot of a command that reads :*/3 * * * * root /etc/cron.hourly/gcc.sh
figure 14. the content of the file /etc/crontab"
Xorddos-Microsoft,/etc/rc,/etc/rc<run_level>,142,"the /etc/rc<run_level> directory contains symbolic links (symlinks), which are soft links that point to the original file."
Xorddos-Microsoft,/etc/rc,/etc/rc.d/rc<run_level>.d/s90<base_file_name>.,144,the malware creates a symlink for the init script dropped at the location /etc/init.d/<base_file_name> with the directories associated with runlevels 1 through 5 at /etc/rc<run_level>.d/s90<base_file_name> and /etc/rc.d/rc<run_level>.d/s90<base_file_name>.
Xorddos-Microsoft,/etc/init.d/,/etc/init.d/<base_file_name>,144,the malware creates a symlink for the init script dropped at the location /etc/init.d/<base_file_name> with the directories associated with runlevels 1 through 5 at /etc/rc<run_level>.d/s90<base_file_name> and /etc/rc.d/rc<run_level>.d/s90<base_file_name>.
Xorddos-Microsoft,/etc/init.d/,/etc/init.d/<base_file_name>.,145,screenshot displaying the installation of rc.d directory's symlink scripts with /etc/init.d/<base_file_name>.
Xorddos-Microsoft,/etc/init.d/,/etc/init.d/<base_file_name>,146,"figure 15. installation of rc.d directory’s symlink scripts with /etc/init.d/<base_file_name>
auto-start services

the malware runs a command to install startup services that automatically run xorddos at boot."
Xorddos-Microsoft,^chkconfig$,chkconfig,148,the commands chkconfig –add <service_name> and update-rc.d then add a service that starts the daemon process at boot.
Xorddos-Microsoft,update-rc.d,update-rc.d,148,the commands chkconfig –add <service_name> and update-rc.d then add a service that starts the daemon process at boot.
Xorddos-Microsoft,^chkconfig$,chkconfig,149,"screenshot displaying chkconfig and update-rc.d commands installing the startup service
figure 16. chkconfig and update-rc.d commands install the startup service
argument-based code-flow
xorddos has specific code paths corresponding to the number of arguments provided to the program."
Xorddos-Microsoft,update-rc.d,update-rc.d,149,"screenshot displaying chkconfig and update-rc.d commands installing the startup service
figure 16. chkconfig and update-rc.d commands install the startup service
argument-based code-flow
xorddos has specific code paths corresponding to the number of arguments provided to the program."
Xorddos-Microsoft,/proc/,/proc/self/exe,152,"before handling the argument-based control, it calls the readlink api with the first parameter as /proc/self/exe to fetch its full process path."
Xorddos-Microsoft,/run/,/var/run/.,156,"if it’s not running from these locations, then it creates and copies itself using a 10-character string name on those locations, as well as /lib/ and /var/run/."
Xorddos-Microsoft,/var/run/,/var/run/.,156,"if it’s not running from these locations, then it creates and copies itself using a 10-character string name on those locations, as well as /lib/ and /var/run/."
Xorddos-Microsoft,/var/,/var/run/.,156,"if it’s not running from these locations, then it creates and copies itself using a 10-character string name on those locations, as well as /lib/ and /var/run/."
Xorddos-Microsoft,0x[0-9a-zA-Z]{8},“0xda718716”,160,"2: clean-up code path

in this code path, the malware runs with another argument provided as the pid, for example:

/usr/bin/jwvwvxoupv 4849
using the above example, the malware shares the 64-byte size memory segment with the ipc key “0xda718716” to check for another malware process provided as an argument."
Xorddos-Microsoft,/etc/rc,/etc/rc<runlevel>.d/s90<file_name>,163,"additionally, it performs the following tasks on a provided $pid:

fetches the process file name corresponding to the provided $pid
deletes the file for the provided $pid
deletes the installed init services:
deletes /etc/init.d/<file_name>
for runlevels 1-5, unlinks and deletes /etc/rc<runlevel>.d/s90<file_name>
performs the command chkconfig –del <file_name>
performs the command update-rc.d <file_name> remove
ends the process that was provided as an argument."
Xorddos-Microsoft,/etc/init.d/,/etc/init.d/<file_name>,163,"additionally, it performs the following tasks on a provided $pid:

fetches the process file name corresponding to the provided $pid
deletes the file for the provided $pid
deletes the installed init services:
deletes /etc/init.d/<file_name>
for runlevels 1-5, unlinks and deletes /etc/rc<runlevel>.d/s90<file_name>
performs the command chkconfig –del <file_name>
performs the command update-rc.d <file_name> remove
ends the process that was provided as an argument."
Xorddos-Microsoft,^chkconfig$,chkconfig,163,"additionally, it performs the following tasks on a provided $pid:

fetches the process file name corresponding to the provided $pid
deletes the file for the provided $pid
deletes the installed init services:
deletes /etc/init.d/<file_name>
for runlevels 1-5, unlinks and deletes /etc/rc<runlevel>.d/s90<file_name>
performs the command chkconfig –del <file_name>
performs the command update-rc.d <file_name> remove
ends the process that was provided as an argument."
Xorddos-Microsoft,update-rc.d,update-rc.d,163,"additionally, it performs the following tasks on a provided $pid:

fetches the process file name corresponding to the provided $pid
deletes the file for the provided $pid
deletes the installed init services:
deletes /etc/init.d/<file_name>
for runlevels 1-5, unlinks and deletes /etc/rc<runlevel>.d/s90<file_name>
performs the command chkconfig –del <file_name>
performs the command update-rc.d <file_name> remove
ends the process that was provided as an argument."
Xorddos-Microsoft,^sh$,sh,165,"the fake commands can include:

cat resolv.conf
netstat -an
bash
whoami
id
cd /etc
ifconfig eth0
ifconfig
echo “find”
uptime
sh
top
gnome-terminal
su
netstat -antop
grep “a”
who
ls -la
pwd
route -n
ps -ef
ls
sleep 1"
Xorddos-Microsoft,/proc/,/proc/$pid/exe.,168,"it then enters a five-second loop to perform the following checks:

fetches the file name specific to the $pid provided as part of the third argument by calling the readlink api on /proc/$pid/exe."
Xorddos-Microsoft,0x[0-9a-zA-Z]{8},0xbb2fa36aaa9541f0.,182,"as mentioned in the xor-based encryption section, the encoded string m7a4nq_/na translates to the folder path /usr/bin when decoded with the multi-byte key 0xbb2fa36aaa9541f0."
Xorddos-Microsoft,/proc/,/proc/rs_dev,189,xorddos uses /proc/rs_dev character device to communicate with the rootkit.
Xorddos-Microsoft,/proc/rs_dev,/proc/rs_dev,189,xorddos uses /proc/rs_dev character device to communicate with the rootkit.
Xorddos-Microsoft,/proc/,/proc/rs_dev,191,screenshot of the code where the xorddos binary uses the /proc/rs_dev device handle to access the rootkit.
Xorddos-Microsoft,/proc/rs_dev,/proc/rs_dev,191,screenshot of the code where the xorddos binary uses the /proc/rs_dev device handle to access the rootkit.
Xorddos-Microsoft,/proc/,/proc/rs_dev.,192,figure 20. the rootkit becomes accessible to the xorddos malware by using the device handle /proc/rs_dev.
Xorddos-Microsoft,/proc/rs_dev,/proc/rs_dev.,192,figure 20. the rootkit becomes accessible to the xorddos malware by using the device handle /proc/rs_dev.
Xorddos-Microsoft,/proc/,/proc/rs_dev.,194,xorddos attempts to open /proc/rs_dev.
Xorddos-Microsoft,/proc/rs_dev,/proc/rs_dev.,194,xorddos attempts to open /proc/rs_dev.
Xorddos-Microsoft,0x[0-9a-zA-Z]{8},0xad1473b8).,200,"if the rootkit is active, it uses the owner value “0xad1473b8” and group value “0xad1473b8” to change the ownership of dropped files with the function lchown(<filename>, 0xad1473b8, 0xad1473b8)."
Xorddos-Microsoft,"[a-zA-z]:\d{1,5}$",www.gzcfr5axf6.com:3306,202,"after decoding the urls, it adds them into a remote list, which is later used to communicate and fetch commands from the command and control (c2) server:
www.enoan2107.com:3306
www.gzcfr5axf6.com:3306
malicious activity threads
after creating persistent entries, deleting evidence of its activities, and decoding config.rar, the malware initializes a cyclic redundancy check (crc) table followed by an unnamed semaphore using the sem_init api."
Xorddos-Microsoft,/run/,/var/run/gcc.pid,207,"kill_process

the kill_process thread performs the following tasks:

decodes encrypted strings
fetches file stats for /var/run/gcc.pid or, if none exist, then creates the file
fetches file stats for /lib/libudev.so or, if none exist, then creates the directory /lib and creates a copy of itself at the location /lib/libudev.so
fetches the on disk file information associated with the current process; if it fails, then exits the loop and stops the current process
reads the content from kill_cfg and performs the corresponding actions, like stopping the process or deleting files, based on the matching specified keys in the configuration file, such as:
md5=
filename=
rmfile=
denyip=
tcp_thread

the tcp_thread triggers the connection with the c2 server decoded earlier using decrypt_remotestr()."
Xorddos-Microsoft,/var/run/,/var/run/gcc.pid,207,"kill_process

the kill_process thread performs the following tasks:

decodes encrypted strings
fetches file stats for /var/run/gcc.pid or, if none exist, then creates the file
fetches file stats for /lib/libudev.so or, if none exist, then creates the directory /lib and creates a copy of itself at the location /lib/libudev.so
fetches the on disk file information associated with the current process; if it fails, then exits the loop and stops the current process
reads the content from kill_cfg and performs the corresponding actions, like stopping the process or deleting files, based on the matching specified keys in the configuration file, such as:
md5=
filename=
rmfile=
denyip=
tcp_thread

the tcp_thread triggers the connection with the c2 server decoded earlier using decrypt_remotestr()."
Xorddos-Microsoft,/var/,/var/run/gcc.pid,207,"kill_process

the kill_process thread performs the following tasks:

decodes encrypted strings
fetches file stats for /var/run/gcc.pid or, if none exist, then creates the file
fetches file stats for /lib/libudev.so or, if none exist, then creates the directory /lib and creates a copy of itself at the location /lib/libudev.so
fetches the on disk file information associated with the current process; if it fails, then exits the loop and stops the current process
reads the content from kill_cfg and performs the corresponding actions, like stopping the process or deleting files, based on the matching specified keys in the configuration file, such as:
md5=
filename=
rmfile=
denyip=
tcp_thread

the tcp_thread triggers the connection with the c2 server decoded earlier using decrypt_remotestr()."
Xorddos-Microsoft,/run/,/var/run/gcc.pid,208,"it performs the following tasks:

reads the content of the file /var/run/gcc.pid to get a unique 32-byte magic string that identifies the device while connecting with the c2 server; if the file doesn’t exist, then it creates the file and updates it with a random 32-byte string."
Xorddos-Microsoft,/var/run/,/var/run/gcc.pid,208,"it performs the following tasks:

reads the content of the file /var/run/gcc.pid to get a unique 32-byte magic string that identifies the device while connecting with the c2 server; if the file doesn’t exist, then it creates the file and updates it with a random 32-byte string."
Xorddos-Microsoft,/var/,/var/run/gcc.pid,208,"it performs the following tasks:

reads the content of the file /var/run/gcc.pid to get a unique 32-byte magic string that identifies the device while connecting with the c2 server; if the file doesn’t exist, then it creates the file and updates it with a random 32-byte string."
Xorddos-Microsoft,GID(\$|\.|$),suid/sgid,246,"events with the following titles indicate threat activity related to xorddos:

the content of libudev.so was collected into libudev.so.6
bash process performed system information discovery by invoking ifconfig
gcc.sh was executed after being dropped by hflggwyfsc.elf
a shell command was executed by crond
suid/sgid process unix_chkpwd executed
screenshot of the microsoft 365 defender timeline showing the alert where a suspicious shell command run by crond was dropped from the malicious .elf."
Xorddos-Microsoft,/run/,/var/run/gcc.pid),247,"figure 26. microsoft 365 defender timeline with an event on a suspicious shell command run by crond after it was dropped from hflggwyfsc.elf
hunting queries
to locate malicious activity related to xorddos activity, run the following advanced hunting queries in microsoft 365 defender or microsoft defender security center:

failed sign-ins

devicelogonevents
| where initiatingprocessfilename == sshd
    and actiontype == logonfailed
| summarize count() by dayofyear = datetime_part(dayofyear, timestamp)
| sort by dayofyear 
| render linechart
creation of the xorddos-specific dropped files

devicefileevents
| extend fullpath=strcat(folderpath, filename)
| where fullpath in (/etc/cron.hourly/gcc.sh, /lib/libudev.so.6, /lib/libudev.so, /var/run/gcc.pid)
command-line of malicious process

deviceprocessevents
| where processcommandline contains cat resolv.conf"
Xorddos-Microsoft,/var/run/,/var/run/gcc.pid),247,"figure 26. microsoft 365 defender timeline with an event on a suspicious shell command run by crond after it was dropped from hflggwyfsc.elf
hunting queries
to locate malicious activity related to xorddos activity, run the following advanced hunting queries in microsoft 365 defender or microsoft defender security center:

failed sign-ins

devicelogonevents
| where initiatingprocessfilename == sshd
    and actiontype == logonfailed
| summarize count() by dayofyear = datetime_part(dayofyear, timestamp)
| sort by dayofyear 
| render linechart
creation of the xorddos-specific dropped files

devicefileevents
| extend fullpath=strcat(folderpath, filename)
| where fullpath in (/etc/cron.hourly/gcc.sh, /lib/libudev.so.6, /lib/libudev.so, /var/run/gcc.pid)
command-line of malicious process

deviceprocessevents
| where processcommandline contains cat resolv.conf"
Xorddos-Microsoft,/var/,/var/run/gcc.pid),247,"figure 26. microsoft 365 defender timeline with an event on a suspicious shell command run by crond after it was dropped from hflggwyfsc.elf
hunting queries
to locate malicious activity related to xorddos activity, run the following advanced hunting queries in microsoft 365 defender or microsoft defender security center:

failed sign-ins

devicelogonevents
| where initiatingprocessfilename == sshd
    and actiontype == logonfailed
| summarize count() by dayofyear = datetime_part(dayofyear, timestamp)
| sort by dayofyear 
| render linechart
creation of the xorddos-specific dropped files

devicefileevents
| extend fullpath=strcat(folderpath, filename)
| where fullpath in (/etc/cron.hourly/gcc.sh, /lib/libudev.so.6, /lib/libudev.so, /var/run/gcc.pid)
command-line of malicious process

deviceprocessevents
| where processcommandline contains cat resolv.conf"
Xorddos-Microsoft,/etc/cron,"(/etc/cron.hourly/gcc.sh,",247,"figure 26. microsoft 365 defender timeline with an event on a suspicious shell command run by crond after it was dropped from hflggwyfsc.elf
hunting queries
to locate malicious activity related to xorddos activity, run the following advanced hunting queries in microsoft 365 defender or microsoft defender security center:

failed sign-ins

devicelogonevents
| where initiatingprocessfilename == sshd
    and actiontype == logonfailed
| summarize count() by dayofyear = datetime_part(dayofyear, timestamp)
| sort by dayofyear 
| render linechart
creation of the xorddos-specific dropped files

devicefileevents
| extend fullpath=strcat(folderpath, filename)
| where fullpath in (/etc/cron.hourly/gcc.sh, /lib/libudev.so.6, /lib/libudev.so, /var/run/gcc.pid)
command-line of malicious process

deviceprocessevents
| where processcommandline contains cat resolv.conf"
Xorddos-Microsoft,/etc/init.d/,/etc/init.d/hflggwyfsc.elf,250,"dropped files
dropped file path	file type	sha-256
/etc/init.d/hflggwyfsc.elf	shell script	6e506f32c6fb7b5d342d1382989ab191c6f21c2d311251d8f623814f468952cf
/etc/cron.hourly/gcc.sh	shell script	cbb72e542e8f19240130fc9381c2351730d437d42926c6e68e056907c8456459
/lib/libudev.so	elf	f2df54eb827f3c733d481ebb167a5bc77c5ae39a6bda7f340bb23b24dc9a4432
/run/gcc.pid	text	932feef3ab6fccb3502f900619b1f87e1cb44a7adab48f2c927ecdd67ff6830a
/usr/bin/djtctpzfdq	elf	53f062a93cf19aeaa2f8481b32118a31b658a126624abb8a7d82237884f0a394
/usr/bin/dmpyuitfoq	elf	798577202477c0c233d4af51c4d8fb2f574ddb3c9d1d90325d359a84cb1bd51c
/usr/bin/fdinprytpq	elf	2b4500987d50a24ba5c118f506f2507362d6b5c63c80b1984b4ae86641779ff3
/usr/bin/jwvwvxoupv	elf	359c41da1cbae573d2c99f7da9eeb03df135f018f6c660b4e44fbd2b4ddecd39
/usr/bin/kagbjahdic	elf	e6c7eee304dfc29b19012ef6d31848c0b5bb07362691e4e9633c8581f1c2d65b
/usr/bin/kkldnszwvq	elf	ef0a4c12d98dc0ad4db86aadd641389c7219f57f15642ed35b4443daf3ff8c1e
/usr/bin/kndmhuqmah	elf	b5fba27a8e457c1ab6573c378171f057d151dc615d6a8d339195716fa9ac277a
/usr/bin/qkxqoelrfa	elf	d71ea3b98286d39a711b626f687f0d3fc852c3e3a05de3f51450fb8f7bd2b0d7
/usr/bin/sykhrxsazz	elf	9d6f115f31ee71089cc85b18852974e349c68fad3276145dafd0076951f32489
/usr/bin/tcnszvmpqn	elf	360a6258dd66a3ba595a93896d9b55d22406d02e5c02100e5a18382c54e7d5cd
/usr/bin/zalkpggsgh	elf	dc2b1cee161ebe90be68561755d99e66f454ad80b27cebe3d4773518ac45cbb7
/usr/bin/zvcarxfquk	elf	175667933088fbebcb62c8450993422ccc876495299173c646779a9e67501ff4
/tmp/bin/3200	elf (rootkit)	c8f761d3ef7cd16ebe41042a0daf901c2fdffce96c8e9e1fa0d422c6e31332ea
installer script	bash script	8be8c950d8701ef1149c547ea3f949ea78394787ad1e19fc0eaa7bd7aeb863c2
/usr/bin/djtctpzfdq	elf	53f062a93cf19aeaa2f8481b32118a31b658a126624abb8a7d82237884f0a394
/usr/bin/jwvwvxoupv	elf	359c41da1cbae573d2c99f7da9eeb03df135f018f6c660b4e44fbd2b4ddecd39
/usr/bin/kkldnszwvq	elf	ef0a4c12d98dc0ad4db86aadd641389c7219f57f15642ed35b4443daf3ff8c1e
/usr/bin/zvcarxfqul	elf (rootkit)	483451dcda78a381cc73474711bf3fcae97bd088f67b5a7e92639df52ef5ef25
/usr/bin/zvzvmpqnv	elf (rootkit)	c8f761d3ef7cd16ebe41042a0daf901c2fdffce96c8e9e1fa0d422c6e31332ea"
