report,baseline,sentence number,sentence
Dofloo-SyscallParty,/proc/self/exe,27,the main method then branches to function named get_executable_name which reads the symlink /proc/self/exe via readlink(..).
Dofloo-SyscallParty,/etc,36,"persistence
persistence is achieved by the malware by adding to /etc/rc.local and the /etc/init.d/boot.local files (in the auto_boot function); however before it overwrites this file it first checks to see if it has already done so."
Dofloo-SyscallParty,/etc/init.d/boot.local,36,"persistence
persistence is achieved by the malware by adding to /etc/rc.local and the /etc/init.d/boot.local files (in the auto_boot function); however before it overwrites this file it first checks to see if it has already done so."
Dofloo-SyscallParty,/etc/rc.local,36,"persistence
persistence is achieved by the malware by adding to /etc/rc.local and the /etc/init.d/boot.local files (in the auto_boot function); however before it overwrites this file it first checks to see if it has already done so."
Dofloo-SyscallParty,/etc,37,the /etc/rc.local will execute certain commands after all of the systems' services have started.
Dofloo-SyscallParty,/etc/rc.local,37,the /etc/rc.local will execute certain commands after all of the systems' services have started.
Dofloo-SyscallParty,/etc,39,"a string is formatted and the sed program is called which writes to the file in question (there are several string operations, such as sed -i -e '2 i%s/%s' /etc/rc.local is formatted for example)."
Dofloo-SyscallParty,/etc/rc.local,39,"a string is formatted and the sed program is called which writes to the file in question (there are several string operations, such as sed -i -e '2 i%s/%s' /etc/rc.local is formatted for example)."
Dofloo-SyscallParty,/proc/net/dev,53,the way the malware gets information regarding the network adapter is reading the /proc/net/dev file.
Dofloo-SyscallParty,uname,77,"we can see that if the ‘uname’ call fails then “unknown” will be copied into the destination buffer which originally resided in r11, else if it is successful, will branch to 0xca8c."
Dofloo-SyscallParty,/proc/cpuinfo,80,the virtual file /proc/cpuinfo is opened and read in words until an eof (-1) is hit whilst reading the file chunk by chunk — then fclose is called to free up the opened file.
Dofloo-SyscallParty,sysinfo,82,the malware then calls sysinfo(..) and reads into the struct (also named sysinfo) which is originally located in r3.
Dofloo-Trendmicro,/etc,5,"installation

this backdoor adds the following processes:

sed -i -e '/exit/d' /etc/rc.local
sed -i -e '/^\r\n|\r|\n$/d' /etc/rc.local
sed -i -e '/%s/d' /etc/rc.local
sed -i -e '2 i%s/%s' /etc/rc.local
sed -i -e '2 i%s/%s start' /etc/rc.d/rc.local
sed -i -e '2 i%s/%s start' /etc/init.d/boot.local
backdoor routine"
Dofloo-Trendmicro,/etc/init.d/boot.local,5,"installation

this backdoor adds the following processes:

sed -i -e '/exit/d' /etc/rc.local
sed -i -e '/^\r\n|\r|\n$/d' /etc/rc.local
sed -i -e '/%s/d' /etc/rc.local
sed -i -e '2 i%s/%s' /etc/rc.local
sed -i -e '2 i%s/%s start' /etc/rc.d/rc.local
sed -i -e '2 i%s/%s start' /etc/init.d/boot.local
backdoor routine"
Dofloo-Trendmicro,/etc/rc.d/rc.local,5,"installation

this backdoor adds the following processes:

sed -i -e '/exit/d' /etc/rc.local
sed -i -e '/^\r\n|\r|\n$/d' /etc/rc.local
sed -i -e '/%s/d' /etc/rc.local
sed -i -e '2 i%s/%s' /etc/rc.local
sed -i -e '2 i%s/%s start' /etc/rc.d/rc.local
sed -i -e '2 i%s/%s start' /etc/init.d/boot.local
backdoor routine"
Dofloo-Trendmicro,/etc/rc.local,5,"installation

this backdoor adds the following processes:

sed -i -e '/exit/d' /etc/rc.local
sed -i -e '/^\r\n|\r|\n$/d' /etc/rc.local
sed -i -e '/%s/d' /etc/rc.local
sed -i -e '2 i%s/%s' /etc/rc.local
sed -i -e '2 i%s/%s start' /etc/rc.d/rc.local
sed -i -e '2 i%s/%s start' /etc/init.d/boot.local
backdoor routine"
Dofloo-Trendmicro,/proc/cpuinfo,7,"this backdoor gathers the following data:

cpu information
memory statistics
ip address of infected machine
reads the following information from /proc:
/proc/stat
/proc/meminfo
/proc/cpuinfo
/proc/net/dev
/proc/self/exe
/proc/self/maps
/proc/sys/vm/overcommit_memory
/proc/sys/kernel/rtsig-max
/proc/sys/kernel/ngroups_max
/proc/sys/kernel/osrelease
/proc/self/fd/%d/%s
/proc/self/fd
/proc/net
other details"
Dofloo-Trendmicro,/proc/net/dev,7,"this backdoor gathers the following data:

cpu information
memory statistics
ip address of infected machine
reads the following information from /proc:
/proc/stat
/proc/meminfo
/proc/cpuinfo
/proc/net/dev
/proc/self/exe
/proc/self/maps
/proc/sys/vm/overcommit_memory
/proc/sys/kernel/rtsig-max
/proc/sys/kernel/ngroups_max
/proc/sys/kernel/osrelease
/proc/self/fd/%d/%s
/proc/self/fd
/proc/net
other details"
Dofloo-Trendmicro,/proc/self/exe,7,"this backdoor gathers the following data:

cpu information
memory statistics
ip address of infected machine
reads the following information from /proc:
/proc/stat
/proc/meminfo
/proc/cpuinfo
/proc/net/dev
/proc/self/exe
/proc/self/maps
/proc/sys/vm/overcommit_memory
/proc/sys/kernel/rtsig-max
/proc/sys/kernel/ngroups_max
/proc/sys/kernel/osrelease
/proc/self/fd/%d/%s
/proc/self/fd
/proc/net
other details"
Dofloo-Trendmicro,/proc/stat,7,"this backdoor gathers the following data:

cpu information
memory statistics
ip address of infected machine
reads the following information from /proc:
/proc/stat
/proc/meminfo
/proc/cpuinfo
/proc/net/dev
/proc/self/exe
/proc/self/maps
/proc/sys/vm/overcommit_memory
/proc/sys/kernel/rtsig-max
/proc/sys/kernel/ngroups_max
/proc/sys/kernel/osrelease
/proc/self/fd/%d/%s
/proc/self/fd
/proc/net
other details"
Dofloo-Trendmicro,/etc,8,"this backdoor opens the following files:

/etc/host.conf
/etc/resolv.conf
/etc/nsswitch.conf
/etc/suid-debug
/etc/ld.so.cache"
Dofloo-Trendmicro,/etc/host.conf,8,"this backdoor opens the following files:

/etc/host.conf
/etc/resolv.conf
/etc/nsswitch.conf
/etc/suid-debug
/etc/ld.so.cache"
Dofloo-Trendmicro,/etc/nsswitch.conf,8,"this backdoor opens the following files:

/etc/host.conf
/etc/resolv.conf
/etc/nsswitch.conf
/etc/suid-debug
/etc/ld.so.cache"
Dofloo-Trendmicro,/etc/resolv.conf,8,"this backdoor opens the following files:

/etc/host.conf
/etc/resolv.conf
/etc/nsswitch.conf
/etc/suid-debug
/etc/ld.so.cache"
