Syscall,Sentence,FirstLine,Synonym,SynonymSentence
preadv(),read or write data into multiple buffers,"<read,or write data into multiple buffers>","<,>",
signalfd(),create a file descriptor for accepting signals,"<create,a file descriptor for accepting signals>","<,>",
open_by_handle_at(),obtain handle for a pathname and open file via a handle,"<obtain,handle for a pathname and open file via a handle>","<,>",
open_by_handle_at(),obtain handle for a pathname and open file via a handle,"<open,file via a handle>","<,>",
writev(),read or write data into multiple buffers,"<read,or write data into multiple buffers>","<,>",
sync(),commit filesystem caches to disk,"<commit,filesystem caches to disk>","<,>",
fanotify_mark(),"add, remove, or modify an fanotify mark on a filesystem object","<add,remove, or modify an fanotify mark on a filesystem object>","<,>",
fdatasync(),synchronize a file's in,"<synchronize,a file's in>","<,>",
inotify_add_watch(),add a watch to an initialized inotify instance,"<add,a watch to an initialized inotify instance>","<,>",
signalfd4(),create a file descriptor for accepting signals,"<create,a file descriptor for accepting signals>","<,>",
pwrite64(),read from or write to a file descriptor at a given offset,"<read,from or write to a file descriptor at a given offset>","<,>",
fsync(),synchronize a file's in,"<synchronize,a file's in>","<,>",
userfaultfd(),create a file descriptor for handling page faults in user space,"<create,a file descriptor for handling page faults in user space>","<,>",
userfaultfd(),create a file descriptor for handling page faults in user space,"<,>","<,>",
fanotify_init(),create and initialize fanotify group,"<create,and initialize fanotify group>","<,>",
fanotify_init(),create and initialize fanotify group,"<initialize,fanotify group>","<,>",
syncfs(),commit filesystem caches to disk,"<commit,filesystem caches to disk>","<,>",
